DIST,Basic Procurement Govt,Basic Procurement Co.op,Basic Procurement Pvt,Total Procurement,Interstate Recipet Govt,Interstate Recipet Co.op,Interstate Recipet Pvt,Interstate Recipet Total,Outerstate Receipt Govt,Outerstate Receipt Co.op,Outerstate Receipt Pvt,Outerstate Receipt Total ,Total Procurement & Receipt,Govt Pouch Sale,Co.op Pouch Sale,Pvt Pouch Sale,Total Pouch Sale,Govt Retail Sale,Co.op Retail Sale,Pvt Retail Sale,Total Retail Sale,Govt Outerstate Sale,Co.op Outerstate Sale,Pvt Outerstate Sale,Total Outerstate Sale,Govt Bi-Products,Co.op Bi-Products,Pvt Bi-Products,Total Bi-Products,Govt Conversion,Co.op Conversion,Pvt Conversion,Total Conversion,Mahanand,Co.Op to Mahanand
Pune,0,5.8,23.62,29.41,0,0,57.3,57.3,0,0,0.68,0.68,87.39,0,1.35,11.6,12.95,0,3.97,7.09,11.06,0,0,1.37,1.37,0,0.04,26.64,26.68,0,0,34.8,34.8,0,0.45
Sangli,0,4.17,10.67,14.84,0,0.15,0,0.15,0,0,0.42,0.42,15.4,0,0.93,4.96,5.89,0,2.49,3.67,6.16,0,0.05,0,0.06,0,0.15,0.51,0.65,0,0.64,1.95,2.59,0,0.05
Satara,0,0.97,15.34,16.31,0,0.15,3.82,3.97,0,0,0,0,20.27,0,0.45,2.42,2.87,0,0.59,9.71,10.3,0,0,1.08,1.08,0,0.04,2.2,2.24,0,0,3.82,3.82,0,0.03
Solapur,0,1.61,12.7,14.31,0,0.75,0,0.75,0,1.54,0,1.54,16.6,0,0.3,0.25,0.55,0,0.43,9.22,9.65,0,0,3.2,3.2,0,0.16,0.03,0.19,0,2.87,0,2.87,0,0
Kolhapr,0,14.12,0.79,14.91,0,2.17,0.89,3.06,0,1.88,0.4,2.28,20.24,0,17.03,0.89,17.92,0,0.47,0.4,0.86,0,0.1,0.21,0.31,0,0.33,0.45,0.78,0,0.87,0.7,1.57,0,0
Total,0,26.66,63.1,89.76,0,3.23,62.01,65.23,0,3.42,1.5,4.92,159.91,0,20.06,20.12,40.18,0,7.95,30.08,38.03,0,0.16,5.86,6.01,0,0.71,29.83,30.54,0,4.37,41.27,45.64,0,0.53
A.Nagar,0,5.95,31.35,37.3,0,1.21,1.32,2.53,0,0,0,0,39.83,0,1.92,3.04,4.96,0,2.03,20.22,22.25,0,0.64,0,0.64,0,0.32,1.72,2.04,0,1.23,7.7,8.93,0,0
Nasik,0,0.55,6.86,7.41,0,0.16,1.29,1.45,0,0,0,0,8.86,0,0.08,0.54,0.62,0,0.17,3.72,3.89,0,0.46,2.03,2.49,0,0,0.15,0.15,0,0,1.67,1.67,0,0
Jalgaon,0,2.28,0.76,3.04,0,0,0.74,0.74,0,0,0,0,3.78,0,1.02,0.81,1.83,0,0,0.32,0.32,0,0.16,0.18,0.34,0,0.05,0.19,0.24,0,0.84,0,0.84,0,0
Dhule,0,0.1,1.25,1.35,0,0,2.17,2.17,0,0,0,0,3.52,0,0,0.16,0.16,0,0.05,2.9,2.95,0,0.05,0.36,0.41,0,0,0,0,0,0,0,0,0,0
Nandrbr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,8.88,40.22,49.1,0,1.37,5.52,6.89,0,0,0,0,55.99,0,3.02,4.55,7.57,0,2.25,27.16,29.41,0,1.31,2.57,3.88,0,0.37,2.06,2.43,0,2.07,9.37,11.44,0,0
